Código de Ruta,Descripción de la ruta,Código recorrido ,Descripción del recorrido,Sentido,Dia,Mes,Año,Cantidad de Pasajeros Regulares,Cantidad de Adultos Mayores,Ingresos
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,12,6,2026,375,15,300000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,11,6,2026,258,4,206400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,10,6,2026,467,17,373600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,9,6,2026,393,17,314400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,8,6,2026,394,9,315200
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,5,6,2026,390,22,312000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,4,6,2026,423,9,338400
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,3,6,2026,400,7,320000
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,2,6,2026,447,21,357600
RF005,ALAJUELA - HEREDIA Y VICEVERSA,T4471,ALAJUELA - HEREDIA Y VICEVERSA,Origen – Destino,1,6,2026,408,15,326400
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,30,6,2026,2143,0,1510815
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,29,6,2026,2209,0,1557345
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,26,6,2026,2054,0,1448070
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,25,6,2026,2248,0,1584840
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,24,6,2026,2135,0,1505175
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,23,6,2026,2390,0,1684950
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,22,6,2026,1980,0,1395900
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,19,6,2026,2146,0,1512930
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,18,6,2026,2582,0,1820310
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,17,6,2026,2471,0,1742055
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,16,6,2026,2535,0,1787175
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,15,6,2026,2638,0,1859790
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,12,6,2026,2721,0,1918305
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,11,6,2026,2670,0,1882350
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,10,6,2026,2542,0,1792110
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,9,6,2026,2752,0,1940160
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,8,6,2026,2668,0,1880940
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,5,6,2026,2430,0,1713150
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,4,6,2026,2769,0,1952145
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,3,6,2026,2566,0,1809030
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,2,6,2026,2811,0,1981755
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Destino – Origen,1,6,2026,2666,0,1879530
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,30,6,2026,2156,209,1519980
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,29,6,2026,2802,244,1975410
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,26,6,2026,2686,222,1893630
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,25,6,2026,2813,198,1983165
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,24,6,2026,2840,207,2002200
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,23,6,2026,3035,199,2139675
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,22,6,2026,1859,168,1310595
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,19,6,2026,2837,277,2000085
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,18,6,2026,3063,239,2159415
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,17,6,2026,3306,153,2330730
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,16,6,2026,3435,220,2421675
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,15,6,2026,2404,198,1694820
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,12,6,2026,2855,261,2012775
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,11,6,2026,3223,196,2272215
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,10,6,2026,3070,178,2164350
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,9,6,2026,3125,170,2203125
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,8,6,2026,3490,221,2460450
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,5,6,2026,3084,220,2174220
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,4,6,2026,3164,231,2230620
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,3,6,2026,3279,204,2311695
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,2,6,2026,3536,231,2492880
RF004,ESTACION DEL ATLANTICO - CARTAGO,T4470,ESTACION DEL ATLANTICO - CARTAGO,Origen – Destino,1,6,2026,3543,215,2497815
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,30,6,2026,923,0,503035
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,29,6,2026,933,0,508485
RF003,UNIVERSIDAD LATINA - HEREDIA,T4469,ESTACION DEL ATLANTICO – HEREDIA,Destino – Origen,26,6,2026,711,0,387495
